"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14"
"sig_1",-0.221838186543458,0.354985861513602,-0.325485595343478,0.383100899096273,0.110722891850385,-0.244322445344922,-0.426643222477931,0.293646505154289,-0.194255748266558,0.204872958066173,0.38802146929996,0.0420428977631965,0.0318378013210317,0.0318378013166314
"sig_2",0.40032668849184,0.39937291635363,0.023938145666957,0.138223328981935,0.423358918902645,-0.0243571523305544,0.259950894505683,0.00155034906019247,-0.42141940484126,0.250426167655033,-0.391115706484594,0.101760996640914,0.10239211567593,0.102392115710403
"sig_3",0.174951105540438,0.251900263360961,-0.0575449532274911,-0.158508242188373,-0.549223402173559,0.182914427769468,-0.188352437128076,0.245293350472415,-0.238613681433383,0.547652623515408,0.274508616018633,0.124794158331249,3.45526070693382e-12,1.50008964964755e-11
"sig_4",-0.252319337241803,0.311193038676421,0.682806684632365,-0.0621106844172558,0.00131468346210839,-0.261256731117367,-0.334481991307775,0.203251492249497,-0.308947481950381,-0.0699844272457222,0.111194055116591,-0.0412865614125238,-0.185937108369609,-0.185937108385935
"sig_5",-0.0712309116983913,-0.063294194210197,-0.236505082113104,9.72152190120169e-05,-0.398275240706601,-0.103140554254584,0.0436178787437601,-0.141965738706315,-0.745661903194276,-0.42722122314208,-0.0690293475329901,0.0383623739885082,1.97756414795246e-11,1.49079040575724e-11
"sig_6",0.406466951058451,0.0926486765411981,-0.0105922563788259,0.183462614288991,0.172025337863434,0.0276429650385399,0.15293189275776,-0.238040549463788,-0.425069977695379,-0.155525558999898,0.615405877403499,-0.313805897379158,-0.0451300926349633,-0.0451300927289309
"sig_7",-0.210218897378264,0.509598137945826,-0.0839890376209368,-0.285111071692919,0.0635775308794234,0.20234111646096,0.0457514084694034,-0.0991855477618981,-0.104259807703281,-0.250467926288595,0.0404476927321591,-0.0167723837075462,0.689657093937256,0.689657093923595
"sig_8",-0.0701603399413947,-0.051617765855727,-0.234407144102958,0.0248250310974831,-0.412301924605273,-0.0953915113883555,0.0505228196907656,-0.147479487785991,-0.735330452716895,-0.432519488321329,-0.0731890037976277,0.0378400992534055,1.93614832536102e-11,1.53171937972027e-11
"sig_9",0.473691464379249,0.0386155535543774,0.031287585762967,-0.240387298311117,-0.0192806366814332,0.0754379211237981,-0.670134382540192,-0.124881451441314,-0.0227030682553697,-0.0761565645447629,0.0801451312314975,0.484624943543315,-4.92695874635978e-12,8.53643262811358e-11
"sig_10",-0.1336328517751,-0.0682404814357225,0.168048227999644,-0.360918316812961,-0.0402024817462421,-0.0150565692900753,-0.488479786887332,-0.241354840826685,-0.474172315365602,0.453063621365309,-0.00918543319134953,-0.302478509939698,2.12080612354020e-11,-6.60119602678415e-11
"sig_11",-0.054826937599959,0.189629368115843,0.153454294253385,-0.636091668640743,0.270497747861131,-0.143646318698797,-0.368830757482575,0.173154508123511,-0.238027114244705,-0.10579221397557,0.0220838824318334,-0.204425401399709,-0.404481925055586,-0.404481925117283
"sig_12",-0.0701603399413947,-0.051617765855727,-0.234407144102958,0.0248250310974831,-0.412301924605273,-0.0953915113883555,0.0505228196907656,-0.147479487785991,-0.735330452716895,-0.432519488321329,-0.0731890037976277,0.0378400992534055,1.93614832536102e-11,1.53171937972027e-11
"sig_13",-0.146915631795991,-0.208047431878193,0.0586883279529026,0.176092866175256,-0.0294466844690015,0.725723946374933,-0.197946778286252,0.110592872731707,-0.549029433528143,0.0258089029594197,-0.00147829631973318,-0.141265670927929,1.31845996595629e-11,-2.42227599303655e-11
"sig_14",-0.20959605671613,0.446958314215405,-0.142352807935895,-0.251278102254058,-0.0593878529315717,0.156075944389708,0.0552770103351417,-0.130716548808672,-0.302310291496433,-0.349744425313339,0.0155613149937679,-0.00557393942764935,-0.641331756817168,-0.641331756830683
"sig_15",-0.0315831506735981,-0.332488622617485,-0.0635187557769707,-0.701877545069032,0.391449861788508,-0.221681887226287,-0.195258937040377,0.154120000129765,-0.305768166169364,0.143214764330373,0.116909627672533,0.015468380035111,1.20875439329308e-11,-1.13670848502455e-11
"sig_16",-0.076918676506657,-0.193432865396315,-0.23840153505773,-0.288306392497006,-0.196675446650029,-0.183672304544631,-0.0410754679340097,-0.0641115159231526,-0.794991486750832,-0.324656282707809,-0.0139283816011183,0.0407923537802252,2.27185425939752e-11,8.71169850943503e-12
"sig_17",-0.123928111564976,0.0981631966659075,-0.238329211486501,-0.0586491491731843,-0.359044583843625,-0.02958528362396,0.0591145021936664,-0.162908728664726,-0.702202399891369,-0.467182699487808,-0.0555137177367406,0.02948007062662,-0.201990656249726,-0.201990656257321
"sig_21",-0.0701603399413947,-0.051617765855727,-0.234407144102958,0.0248250310974831,-0.412301924605273,-0.0953915113883555,0.0505228196907656,-0.147479487785991,-0.735330452716895,-0.432519488321329,-0.0731890037976277,0.0378400992534055,1.93614832536102e-11,1.53171937972027e-11
"sig_23",-0.0701603399413947,-0.051617765855727,-0.234407144102958,0.0248250310974831,-0.412301924605273,-0.0953915113883555,0.0505228196907656,-0.147479487785991,-0.735330452716895,-0.432519488321329,-0.0731890037976277,0.0378400992534055,1.93614832536102e-11,1.53171937972027e-11
"sig_28",-0.0701603399413947,-0.051617765855727,-0.234407144102958,0.0248250310974831,-0.412301924605273,-0.0953915113883555,0.0505228196907656,-0.147479487785991,-0.735330452716895,-0.432519488321329,-0.0731890037976277,0.0378400992534055,1.93614832536102e-11,1.53171937972027e-11
