ID,Transport and catabolism,Cell motility,Cell growth and death,Cell communication
ec:3.3.2.10,1,0,0,0
ec:2.7.1.149,0,3,0,0
ec:2.3.1.176,1,0,0,0
ec:2.6.1.51,1,0,0,0
ec:3.5.1.98,0,0,2,0
ec:2.3.1.16,1,0,0,0
ec:3.2.1.50,1,0,0,0
ec:3.2.1.51,1,0,0,0
ec:3.2.1.52,2,0,0,0
ec:1.4.3.3,1,0,0,0
ec:2.7.1.68,4,3,0,1
ec:3.4.22.38,1,0,0,0
ec:1.17.4.1,0,0,2,0
ec:1.14.11.18,1,0,0,0
ec:4.1.3.4,1,0,0,0
ec:4.1.1.9,1,0,0,0
ec:3.1.3.48,0,3,6,7
ec:3.4.21.41,1,0,0,0
ec:2.7.11.18,0,4,0,4
ec:2.7.11.14,2,0,0,0
ec:2.7.11.30,2,0,0,2
ec:3.1.6.12,1,0,0,0
ec:3.1.6.13,1,0,0,0
ec:3.1.6.14,1,0,0,0
ec:3.10.1.1,1,0,0,0
ec:2.7.11.12,0,0,0,2
ec:2.7.11.13,2,0,0,15
ec:2.5.1.18,1,0,0,0
ec:1.3.3.6,2,0,0,0
ec:2.7.11.15,2,0,0,0
ec:2.7.11.16,3,0,0,0
ec:2.1.1.43,0,0,0,1
ec:2.7.1.153,0,4,4,4
ec:2.7.11.17,0,0,4,0
ec:3.4.18.1,1,0,0,0
ec:3.1.2.27,1,0,0,0
ec:2.7.11.10,0,0,2,0
ec:1.-.-.-,0,0,2,0
ec:2.7.11.11,2,0,8,4
ec:3.1.4.12,1,0,0,0
ec:1.11.1.15,2,0,0,0
ec:3.1.4.11,0,0,1,4
ec:3.1.22.1,2,0,0,0
ec:3.4.21.-,0,0,0,1
ec:3.4.22.59,0,0,1,0
ec:3.-.-.-,0,0,1,0
ec:3.1.6.-,1,0,0,0
ec:3.2.1.76,1,0,0,0
ec:3.4.22.52,0,0,1,0
ec:3.4.22.53,0,0,1,1
ec:3.1.4.4,2,0,0,0
ec:3.4.22.56,0,0,2,0
ec:4.2.1.107,1,0,0,0
ec:3.1.6.8,1,0,0,0
ec:3.1.6.4,1,0,0,0
ec:1.2.1.-,2,0,0,0
ec:2.7.8.17,1,0,0,0
ec:3.6.5.5,3,0,0,0
ec:3.1.3.67,0,0,1,2
ec:2.7.11.26,0,0,1,1
ec:1.17.99.3,1,0,0,0
ec:3.1.1.13,1,0,0,0
ec:2.3.1.42,1,0,0,0
ec:3.4.21.20,1,0,0,0
ec:3.1.2.15,2,0,0,0
ec:1.15.1.1,2,0,0,0
ec:3.6.1.6,1,0,0,0
ec:3.4.22.49,0,0,2,0
ec:3.4.22.43,1,0,0,0
ec:3.4.22.42,1,0,0,0
ec:3.4.22.41,1,0,0,0
ec:4.1.-.-,1,0,0,0
ec:1.5.3.13,1,0,0,0
ec:2.7.10.2,1,2,1,10
ec:2.7.10.1,15,8,2,18
ec:3.1.3.2,2,0,0,0
ec:1.3.1.34,1,0,0,0
ec:1.3.1.38,1,0,0,0
ec:3.6.4.12,0,0,6,0
ec:2.3.1.137,1,0,0,0
ec:3.6.3.14,1,0,0,0
ec:3.1.2.22,2,0,0,0
ec:1.14.13.39,2,0,0,0
ec:2.7.1.150,1,1,0,0
ec:3.1.2.2,1,0,0,0
ec:1.5.3.7,1,0,0,0
ec:2.7.11.25,0,0,1,3
ec:2.7.11.24,0,2,3,11
ec:3.6.1.22,1,0,0,0
ec:2.7.11.21,0,0,2,0
ec:3.1.3.16,0,3,12,5
ec:2.7.11.23,0,0,4,1
ec:2.7.11.22,0,0,7,1
ec:3.2.1.18,1,0,0,0
ec:1.4.3.1,1,0,0,0
ec:3.4.21.5,0,1,0,0
ec:3.4.22.34,1,0,0,0
ec:3.4.23.-,1,0,0,0
ec:3.1.4.45,1,0,0,0
ec:3.4.23.5,1,0,0,0
ec:6.3.2.19,13,0,5,0
ec:2.3.1.78,1,0,0,0
ec:1.1.1.42,2,0,0,0
ec:3.4.22.61,0,0,2,0
ec:3.4.22.60,0,0,1,0
ec:3.4.22.63,0,0,1,0
ec:3.4.22.62,0,0,2,0
ec:4.6.1.1,0,0,9,9
ec:4.6.1.2,0,0,0,3
ec:1.1.-.-,2,0,0,0
ec:2.3.1.48,0,0,2,2
ec:3.1.1.5,1,0,0,0
ec:1.11.1.6,1,0,0,0
ec:2.7.4.2,1,0,0,0
ec:3.2.1.25,1,0,0,0
ec:3.2.1.24,1,0,0,0
ec:2.7.11.1,4,14,33,25
ec:2.7.1.36,1,0,0,0
ec:3.2.1.20,1,0,0,0
ec:3.2.1.23,1,0,0,0
ec:3.2.1.22,1,0,0,0
ec:3.5.1.26,1,0,0,0
ec:1.1.3.15,2,0,0,0
ec:3.5.1.23,1,0,0,0
ec:2.7.12.1,0,0,1,0
ec:1.17.3.2,1,0,0,0
ec:2.7.12.2,0,2,1,4
ec:3.4.14.1,1,0,0,0
ec:3.4.14.9,1,0,0,0
ec:2.5.1.26,1,0,0,0
ec:2.7.1.137,2,0,0,0
ec:3.4.22.27,2,0,0,0
ec:3.4.16.5,1,0,0,0
ec:3.4.22.15,2,0,0,0
ec:3.4.22.16,1,0,0,0
ec:3.2.1.31,1,0,0,0
ec:3.2.1.35,1,0,0,0
ec:1.16.1.-,0,0,1,0
ec:2.3.1.7,1,0,0,0
ec:3.6.1.-,2,0,0,0
ec:5.1.99.4,1,0,0,0
ec:3.4.22.-,5,0,1,0
ec:6.2.1.3,6,0,0,0
ec:3.4.22.1,1,0,0,0
ec:5.3.3.-,1,0,0,0
ec:3.4.23.34,1,0,0,0
ec:1.11.2.2,1,0,0,0
ec:3.2.1.46,1,0,0,0
ec:3.2.1.45,1,0,0,0
ec:5.3.3.8,2,0,0,0
ec:3.2.1.49,1,0,0,0
