"","sig_1","sig_2","sig_3","sig_4","sig_5","sig_6","sig_7","sig_8","sig_9","sig_10","sig_11","sig_12","sig_13","sig_14","sig_15","sig_16","sig_17","sig_18","sig_19","sig_20","sig_21","sig_22","sig_23","sig_24","sig_25","sig_26","sig_27","sig_28","sig_29"
"ec:1.1.1.27",-0.362769015474644,0.618649321485101,-0.556057184755477,-0.545194657416345,-0.311071613321712,-1.2484976671384,1.39940162209305,1.76240400418157,-0.350094995000276,-0.340103446215054,-0.303002431792844,-0.479280884553223,-0.562771711019233,-0.446408496975751,-0.177184890869863,-0.299664171365072,-0.597973497324004,-0.527400548708114,-0.482805426547616,-0.187436958921652,-0.298616230622322,-0.348533430794199,-0.719846531253539,-0.530087419286157,-0.198981706694363,-0.763700877597522,-0.292379000753212,2.9699518817115,0.833575213574738
"ec:1.11.1.6",-1.06223043546497,-0.894356673401651,-0.556057184755477,-0.545194657416345,-0.311071613321712,-1.2484976671384,-1.01507424777821,-0.851276596203911,-0.350094995000276,-0.340103446215054,-0.303002431792844,-0.479280884553223,-0.562771711019233,-0.446408496975751,-0.177184890869863,-0.299664171365072,-0.597973497324004,-0.527400548708114,-0.482805426547616,-0.187436958921652,-0.298616230622322,-0.348533430794199,-0.719846531253539,-0.530087419286157,-0.198981706694363,-0.763700877597522,-0.292379000753212,-0.590885512528857,-0.548278125037641
"ec:1.11.1.8",0.550902061104589,0.0749125497553688,-0.556057184755477,1.36185215356565,-0.311071613321712,-1.2484976671384,2.69719415766546,0.0417317360463111,-0.350094995000276,-0.340103446215054,-0.303002431792844,-0.479280884553223,-0.562771711019233,-0.446408496975751,-0.177184890869863,-0.299664171365072,-0.597973497324004,-0.527400548708114,-0.482805426547616,-0.187436958921652,-0.298616230622322,3.36082508552788,-0.719846531253539,-0.530087419286157,-0.198981706694363,-0.763700877597522,-0.292379000753212,2.14650754994515,-0.548278125037641
"ec:1.14.13.39",2.24675599209823,-0.596120287590021,1.94863494964456,-0.545194657416345,3.95869000295587,0.858015714691045,-1.01507424777821,-0.851276596203911,-0.350094995000276,-0.340103446215054,-0.303002431792844,-0.479280884553223,-0.562771711019233,-0.446408496975751,-0.177184890869863,-0.299664171365072,-0.597973497324004,-0.527400548708114,-0.482805426547616,-0.187436958921652,5.35696803115553,-0.348533430794199,-0.719846531253539,-0.530087419286157,-0.198981706694363,-0.763700877597522,-0.292379000753212,-0.590885512528857,-0.548278125037641
"ec:1.14.99.1",-1.06223043546497,0.736190661638906,-0.556057184755477,-0.545194657416345,-0.311071613321712,-1.2484976671384,-1.01507424777821,3.59985794861962,-0.350094995000276,-0.340103446215054,-0.303002431792844,-0.479280884553223,-0.562771711019233,-0.446408496975751,-0.177184890869863,-0.299664171365072,-0.597973497324004,-0.527400548708114,-0.482805426547616,-0.187436958921652,-0.298616230622322,-0.348533430794199,-0.719846531253539,-0.530087419286157,-0.198981706694363,-0.763700877597522,-0.292379000753212,-0.590885512528857,5.27621386741983
"ec:1.14.99.3",-1.06223043546497,-0.894356673401651,-0.556057184755477,-0.545194657416345,-0.311071613321712,-1.2484976671384,-1.01507424777821,-0.851276596203911,-0.350094995000276,-0.340103446215054,-0.303002431792844,-0.479280884553223,-0.562771711019233,-0.446408496975751,-0.177184890869863,-0.299664171365072,-0.597973497324004,-0.527400548708114,-0.482805426547616,-0.187436958921652,-0.298616230622322,-0.348533430794199,-0.719846531253539,-0.530087419286157,-0.198981706694363,-0.763700877597522,-0.292379000753212,-0.590885512528857,-0.548278125037641
"ec:1.2.1.12",-1.06223043546497,2.20730484070081,-0.556057184755477,-0.545194657416345,-0.311071613321712,-1.2484976671384,-1.01507424777821,1.53007895646335,-0.350094995000276,-0.340103446215054,-0.303002431792844,-0.479280884553223,-0.562771711019233,-0.446408496975751,-0.177184890869863,-0.299664171365072,-0.597973497324004,-0.527400548708114,-0.482805426547616,-0.187436958921652,-0.298616230622322,-0.348533430794199,-0.719846531253539,-0.530087419286157,-0.198981706694363,-0.763700877597522,-0.292379000753212,-0.590885512528857,-0.548278125037641
"ec:1.2.4.1",-0.362769015474644,0.618649321485101,-0.556057184755477,-0.545194657416345,-0.311071613321712,-1.2484976671384,1.39940162209305,1.76240400418157,-0.350094995000276,-0.340103446215054,-0.303002431792844,-0.479280884553223,-0.562771711019233,-0.446408496975751,-0.177184890869863,-0.299664171365072,-0.597973497324004,-0.527400548708114,-0.482805426547616,-0.187436958921652,-0.298616230622322,-0.348533430794199,-0.719846531253539,-0.530087419286157,-0.198981706694363,-0.763700877597522,-0.292379000753212,2.9699518817115,0.833575213574738
"ec:2.1.1.43",-1.06223043546497,-0.894356673401651,-0.556057184755477,-0.545194657416345,-0.311071613321712,-1.2484976671384,-1.01507424777821,-0.851276596203911,-0.350094995000276,-0.340103446215054,-0.303002431792844,-0.479280884553223,-0.562771711019233,-0.446408496975751,-0.177184890869863,-0.299664171365072,-0.597973497324004,-0.527400548708114,-0.482805426547616,-0.187436958921652,-0.298616230622322,-0.348533430794199,-0.719846531253539,-0.530087419286157,-0.198981706694363,-0.763700877597522,-0.292379000753212,-0.590885512528857,-0.548278125037641
"ec:2.4.1.11",0.530985251880277,-0.549727185492833,1.61467274228819,1.14996653922014,0.922403974433841,0.577144525310317,-1.01507424777821,-0.586684180747052,-0.350094995000276,-0.340103446215054,-0.303002431792844,-0.479280884553223,3.02410277473311,3.24728475785072,-0.177184890869863,5.35971002132003,-0.597973497324004,-0.527400548708114,-0.482805426547616,-0.187436958921652,-0.298616230622322,-0.348533430794199,0.39907791857004,-0.530087419286157,-0.198981706694363,-0.763700877597522,-0.292379000753212,-0.590885512528857,-0.548278125037641
