"","sig_1","sig_2","sig_3","sig_4","sig_5","sig_6","sig_7","sig_8","sig_9","sig_10","sig_11","sig_12","sig_13","sig_14","sig_15","sig_16","sig_17","sig_18","sig_19","sig_20","sig_21","sig_22","sig_23","sig_24","sig_25","sig_26","sig_27","sig_28","sig_29","Transcription","Translation","Folding.sorting.and.degradation","Replication.and.repair"
"sig_1",1,-0.209597223498436,-0.125172822767747,-0.11895748041141,-0.121353656747713,-0.175522056781724,-0.174287883705488,-0.217955712629955,-0.110912216336174,-0.107480008289874,-0.0878490929501129,-0.140186443536119,-0.109288615470821,-0.121143344225318,-0.11048439589715,-0.0894923393288287,-0.146473337088494,-0.119003354574339,-0.155717036168858,-0.077511725085874,-0.104717501165527,-0.0995156563611817,-0.155901423630838,-0.106344873007502,-0.0906813979684549,-0.129680133926921,-0.150570916375204,-0.187132808360886,-0.135444169478684,-0.0889818424333074,0.230430589162107,0.00541189603007624,-0.125275800072042
"sig_2",-0.209597223498436,1,-0.13193159197161,-0.135899953449671,-0.138404927178873,-0.159566546798087,-0.148564155285658,0.339121240678084,-0.131264256555541,-0.127991800738918,-0.1059725688639,-0.133659114968748,-0.12874307887513,-0.134738183765682,-0.130432030587094,-0.107851320574886,-0.157462981502581,-0.105068401232375,-0.12295618945923,-0.0940897150314311,-0.122806345434993,-0.119215150518318,-0.117511845679927,-0.124883041450466,-0.105380446825819,-0.13431856623643,-0.157605714985736,-0.111845625001873,-0.0426337916521556,-0.0968678377910242,-0.316140588309213,0.357137090562749,0.580310956037096
"sig_3",-0.125172822767747,-0.13193159197161,1,0.814271815526455,0.979960480575315,0.641313393873411,0.927399225306125,0.105214738009321,0.974246037193283,0.904395393596574,0.6709183751049,0.987152826392496,0.990137692553713,0.70118481696599,0.986875956253607,0.688672603641307,0.812612941767968,0.0890721391540896,0.904186486458449,0.562446131522983,0.976476990592514,0.801795475806444,0.164360974432919,0.983193492005633,0.894127262721067,0.992947279848167,0.813991590242531,0.533797828467214,0.101301532379805,0.74779886258038,-0.29597824723811,-0.194006001696612,-0.123623633573553
"sig_4",-0.11895748041141,-0.135899953449671,0.814271815526455,1,0.818565899967489,0.669389387275632,0.789432865541711,0.0151890243234063,0.907537884910386,0.972577416044691,0.955120250943702,0.81542373238858,0.823527022462195,0.981771579003824,0.865598808040459,0.960778766291347,0.935776086564638,0.241711586389348,0.641826060848052,0.911979297517754,0.723986562846155,0.983971333932993,0.278475224947603,0.755077579732716,0.513103859745935,0.866105591752242,0.757545326471162,0.401955107128472,-0.0168467880369083,0.312503755660624,-0.263992529734105,-0.102699406725112,-0.116628461940721
"sig_5",-0.121353656747713,-0.138404927178873,0.979960480575315,0.818565899967489,1,0.719609406777571,0.887926398303811,0.018852546201132,0.96863731528271,0.890008743656391,0.643761990973015,0.942800220793823,0.991409582792342,0.717507141156669,0.984983760608372,0.662181678425799,0.864853934229076,0.227857108367132,0.825630951513819,0.531828655185614,0.983952986994423,0.780452047039947,0.255817294801265,0.988878567122148,0.911544162565253,0.964022191825891,0.893710580015451,0.443753154300299,-0.0265643022219624,0.795630450279222,-0.296459490145131,-0.195966513624635,-0.121847799672651
"sig_6",-0.175522056781724,-0.159566546798087,0.641313393873411,0.669389387275632,0.719609406777571,1,0.767442146559509,0.2168005897718,0.627942771946212,0.591435442749793,0.454040021216574,0.638514320151862,0.631719098164914,0.688912732827335,0.632568829188956,0.464771370199234,0.879539633249835,0.81249527142772,0.586908857738726,0.387914373284752,0.617232924774172,0.532305598324669,0.852975329962186,0.623187183556321,0.555374712572879,0.641536476740446,0.942012152563492,0.603087760621418,0.218021962146601,0.5807364569201,-0.0803142903381987,-0.31598980981318,-0.157338848954867
"sig_7",-0.174287883705488,-0.148564155285658,0.927399225306125,0.789432865541711,0.887926398303811,0.767442146559509,1,0.34644488330129,0.87447712753766,0.828347390060065,0.644251951791648,0.964071111767848,0.876158439259936,0.717740572597523,0.878975016920644,0.658802579379314,0.826449344467533,0.260940937452503,0.959599626504013,0.554261394962276,0.852841716357159,0.749875643543969,0.41271822921455,0.862032797312129,0.761839824311154,0.938036659107014,0.820659493986657,0.799214365602773,0.42388750037494,0.649055593244408,-0.196583395438662,-0.285013073514473,-0.158946009586299
"sig_8",-0.217955712629955,0.339121240678084,0.105214738009321,0.0151890243234063,0.018852546201132,0.2168005897718,0.34644488330129,1,0.0022297983958866,-0.00122745922187824,-0.00683138895904477,0.208819784701522,0.00477048102608013,0.0258182617536899,0.00361976201855262,-0.00651501456553058,0.0492931927905526,0.108650652288243,0.394868428816739,-0.00854714948141856,0.00693942157613158,-0.00417325309509143,0.312245725096647,0.00632540111973758,0.0101513330698552,0.125012946748781,0.0649209993057643,0.667250416928511,0.736112177402153,0.0301556825867731,-0.041260699716284,-0.241091243835422,0.581335220056501
"sig_9",-0.110912216336174,-0.131264256555541,0.974246037193283,0.907537884910386,0.96863731528271,0.627942771946212,0.87447712753766,0.0022297983958866,1,0.971381644095021,0.797964078295863,0.95150171898964,0.983594138900542,0.814773398949143,0.995182236563136,0.812585231967918,0.871344969145443,0.0964746735701088,0.80987752647996,0.705796515506894,0.940827687094166,0.901487021835971,0.136271158416251,0.955944450201571,0.811876628024315,0.983497120452404,0.808643892487521,0.417275649604337,-0.0364538787156861,0.63248958438771,-0.320041264042401,-0.137341302953689,-0.113151674031948
"sig_10",-0.107480008289874,-0.127991800738918,0.904395393596574,0.972577416044691,0.890008743656391,0.591435442749793,0.828347390060065,-0.00122745922187824,0.971381644095021,1,0.918284627858993,0.897223176210168,0.912596989627045,0.91101585430663,0.943414318955058,0.927769494737415,0.887328613314998,0.0833020519112202,0.73421004565706,0.853863330609766,0.83340931133208,0.97848983593748,0.127272367216935,0.858862254148592,0.649968583671921,0.940597887547767,0.74077656189033,0.394501208261868,-0.0339087065903179,0.434654460659282,-0.308095049567276,-0.0954768247838589,-0.108928049399513
