ID,EC1,EC2,EC3,EC4,EC5,EC6
ec:3.1.1.47,0,0,1,0,0,0
ec:1.1.1.1,1,0,0,0,0,0
ec:2.7.9.3,0,1,0,0,0,0
ec:1.1.1.8,1,0,0,0,0,0
ec:2.5.1.91,0,1,0,0,0,0
ec:1.3.8.9,1,0,0,0,0,0
ec:1.3.8.4,1,0,0,0,0,0
ec:1.3.8.6,1,0,0,0,0,0
ec:1.3.8.7,1,0,0,0,0,0
ec:2.7.1.1,0,1,0,0,0,0
ec:2.7.1.6,0,1,0,0,0,0
ec:3.2.1.113,0,0,1,0,0,0
ec:3.2.1.114,0,0,1,0,0,0
ec:2.7.7.8,0,1,0,0,0,0
ec:2.7.7.9,0,1,0,0,0,0
ec:2.7.1.67,0,1,0,0,0,0
ec:2.7.7.4,0,1,0,0,0,0
ec:2.7.1.68,0,1,0,0,0,0
ec:2.7.7.6,0,1,0,0,0,0
ec:2.7.7.7,0,1,0,0,0,0
ec:1.17.4.1,1,0,0,0,0,0
ec:2.7.7.2,0,1,0,0,0,0
ec:2.7.7.3,0,1,0,0,0,0
ec:1.1.1.105,1,0,0,0,0,0
ec:1.1.1.103,1,0,0,0,0,0
ec:2.6.1.44,0,1,0,0,0,0
ec:2.6.1.45,0,1,0,0,0,0
ec:1.5.1.15,1,0,0,0,0,0
ec:1.5.1.12,1,0,0,0,0,0
ec:2.6.1.42,0,1,0,0,0,0
ec:6.3.4.4,0,0,0,0,0,1
ec:2.7.1.83,0,1,0,0,0,0
ec:2.7.1.82,0,1,0,0,0,0
ec:2.3.1.168,0,1,0,0,0,0
ec:1.1.5.3,1,0,0,0,0,0
ec:1.1.1.178,1,0,0,0,0,0
ec:1.3.1.72,1,0,0,0,0,0
ec:1.2.1.31,1,0,0,0,0,0
ec:1.1.1.205,1,0,0,0,0,0
ec:3.1.3.56,0,0,1,0,0,0
ec:2.1.3.2,0,1,0,0,0,0
ec:2.7.8.15,0,1,0,0,0,0
ec:2.7.8.11,0,1,0,0,0,0
ec:3.3.2.9,0,0,1,0,0,0
ec:1.2.1.8,1,0,0,0,0,0
ec:1.1.1.22,1,0,0,0,0,0
ec:2.8.3.5,0,1,0,0,0,0
ec:1.2.1.3,1,0,0,0,0,0
ec:1.2.1.5,1,0,0,0,0,0
ec:4.1.2.5,0,0,0,1,0,0
ec:2.7.1.31,0,1,0,0,0,0
ec:4.2.1.47,0,0,0,1,0,0
ec:2.4.1.18,0,1,0,0,0,0
ec:2.4.1.17,0,1,0,0,0,0
ec:2.4.1.16,0,1,0,0,0,0
ec:2.4.1.11,0,1,0,0,0,0
ec:4.1.1.15,0,0,0,1,0,0
ec:4.1.1.17,0,0,0,1,0,0
ec:2.4.1.175,0,1,0,0,0,0
ec:2.7.7.41,0,1,0,0,0,0
ec:1.13.11.20,1,0,0,0,0,0
ec:1.13.11.27,1,0,0,0,0,0
ec:2.5.1.47,0,1,0,0,0,0
ec:3.1.4.46,0,0,1,0,0,0
ec:3.4.11.1,0,0,1,0,0,0
ec:2.7.7.1,0,1,0,0,0,0
ec:5.1.3.3,0,0,0,0,1,0
ec:2.7.1.32,0,1,0,0,0,0
ec:2.7.1.33,0,1,0,0,0,0
ec:2.7.1.30,0,1,0,0,0,0
ec:5.1.3.2,0,0,0,0,1,0
ec:2.7.1.36,0,1,0,0,0,0
ec:2.4.2.1,0,1,0,0,0,0
ec:6.1.1.10,0,0,0,0,0,1
ec:6.1.1.18,0,0,0,0,0,1
ec:1.3.1.93,1,0,0,0,0,0
ec:3.2.1.33,0,0,1,0,0,0
ec:3.2.1.31,0,0,1,0,0,0
ec:2.3.1.51,0,1,0,0,0,0
ec:1.4.1.3,1,0,0,0,0,0
ec:3.1.3.25,0,0,1,0,0,0
ec:6.3.4.3,0,0,0,0,0,1
ec:5.2.1.2,0,0,0,0,1,0
ec:6.3.4.2,0,0,0,0,0,1
ec:3.1.1.31,0,0,1,0,0,0
ec:4.1.1.50,0,0,0,1,0,0
ec:4.2.1.3,0,0,0,1,0,0
ec:2.4.1.133,0,1,0,0,0,0
ec:2.4.1.132,0,1,0,0,0,0
ec:1.1.1.10,1,0,0,0,0,0
ec:2.4.1.135,0,1,0,0,0,0
ec:2.4.1.134,0,1,0,0,0,0
ec:2.4.1.102,0,1,0,0,0,0
ec:1.4.3.1,1,0,0,0,0,0
ec:1.4.3.3,1,0,0,0,0,0
ec:2.3.1.85,0,1,0,0,0,0
ec:2.4.2.14,0,1,0,0,0,0
ec:3.5.2.3,0,0,1,0,0,0
ec:3.2.1.106,0,0,1,0,0,0
ec:2.4.2.10,0,1,0,0,0,0
ec:2.4.1.226,0,1,0,0,0,0
ec:3.5.2.9,0,0,1,0,0,0
ec:2.5.1.18,0,1,0,0,0,0
ec:3.5.4.9,0,0,1,0,0,0
ec:1.13.11.53,1,0,0,0,0,0
ec:3.5.4.5,0,0,1,0,0,0
ec:2.5.1.10,0,1,0,0,0,0
ec:2.5.1.16,0,1,0,0,0,0
ec:2.1.1.43,0,1,0,0,0,0
ec:1.13.11.54,1,0,0,0,0,0
ec:3.1.4.12,0,0,1,0,0,0
ec:3.1.4.11,0,0,1,0,0,0
ec:3.1.4.17,0,0,1,0,0,0
ec:2.7.1.94,0,1,0,0,0,0
ec:2.3.1.15,0,1,0,0,0,0
ec:2.3.1.16,0,1,0,0,0,0
ec:2.3.1.12,0,1,0,0,0,0
ec:2.3.3.10,0,1,0,0,0,0
ec:6.3.1.2,0,0,0,0,0,1
ec:4.2.1.46,0,0,0,1,0,0
ec:4.1.2.4,0,0,0,1,0,0
ec:6.1.1.22,0,0,0,0,0,1
ec:4.2.1.49,0,0,0,1,0,0
ec:3.1.3.3,0,0,1,0,0,0
ec:3.1.3.2,0,0,1,0,0,0
ec:3.1.3.1,0,0,1,0,0,0
ec:4.2.1.2,0,0,0,1,0,0
ec:3.1.3.7,0,0,1,0,0,0
ec:3.1.3.5,0,0,1,0,0,0
ec:3.5.4.16,0,0,1,0,0,0
ec:3.5.4.12,0,0,1,0,0,0
ec:3.5.4.10,0,0,1,0,0,0
ec:2.5.1.1,0,1,0,0,0,0
ec:3.1.3.11,0,0,1,0,0,0
ec:2.5.1.6,0,1,0,0,0,0
ec:6.3.3.2,0,0,0,0,0,1
ec:4.1.1.28,0,0,0,1,0,0
ec:4.1.1.21,0,0,0,1,0,0
ec:4.1.1.23,0,0,0,1,0,0
ec:3.3.1.1,0,0,1,0,0,0
ec:2.2.1.2,0,1,0,0,0,0
ec:2.2.1.1,0,1,0,0,0,0
ec:6.4.1.4,0,0,0,0,0,1
ec:6.4.1.1,0,0,0,0,0,1
ec:1.14.14.1,1,0,0,0,0,0
ec:2.4.1.261,0,1,0,0,0,0
ec:2.4.1.260,0,1,0,0,0,0
ec:2.4.1.267,0,1,0,0,0,0
ec:3.1.7.2,0,0,1,0,0,0
ec:2.4.1.142,0,1,0,0,0,0
ec:2.4.1.143,0,1,0,0,0,0
ec:2.4.1.141,0,1,0,0,0,0
ec:1.13.11.11,1,0,0,0,0,0
ec:3.1.1.1,0,0,1,0,0,0
ec:3.1.1.5,0,0,1,0,0,0
ec:3.1.1.4,0,0,1,0,0,0
ec:3.1.1.7,0,0,1,0,0,0
ec:1.11.1.9,1,0,0,0,0,0
ec:2.5.1.58,0,1,0,0,0,0
ec:3.5.1.25,0,0,1,0,0,0
ec:2.6.1.22,0,1,0,0,0,0
ec:3.5.1.23,0,0,1,0,0,0
ec:1.17.3.2,1,0,0,0,0,0
ec:1.14.18.1,1,0,0,0,0,0
ec:2.1.2.10,0,1,0,0,0,0
ec:2.4.2.8,0,1,0,0,0,0
ec:2.7.1.48,0,1,0,0,0,0
ec:2.4.2.7,0,1,0,0,0,0
ec:2.4.2.3,0,1,0,0,0,0
ec:2.7.1.40,0,1,0,0,0,0
ec:1.1.1.95,1,0,0,0,0,0
ec:1.1.3.15,1,0,0,0,0,0
ec:6.3.5.7,0,0,0,0,0,1
ec:6.3.5.4,0,0,0,0,0,1
