"","EC1","EC2","EC3","EC4","EC5","EC6"
"ec:1.1.1.1",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.1.1.101",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.1.1.102",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.1.1.14",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.1.1.169",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.1.1.170",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.1.1.2",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.1.1.205",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.1.1.21",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.1.1.23",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.1.1.25",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.1.1.270",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.1.1.284",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.1.1.3",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.1.1.302",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.1.1.303",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.1.1.330",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.1.1.34",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.1.1.37",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.1.1.38",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.1.1.4",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.1.1.41",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.1.1.42",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.1.1.44",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.1.1.49",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.1.1.65",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.1.1.67",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.1.1.8",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.1.1.85",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.1.1.86",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.1.1.87",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.1.1.9",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.1.1.95",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.1.2.3",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.1.2.4",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.1.5.3",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.11.1.6",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.11.1.9",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.13.11.52",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.13.11.53",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.13.11.54",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.13.11.6",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.14.13.132",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.14.13.70",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.14.13.72",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.14.13.9",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.14.14.1",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.17.4.1",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.2.1.11",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.2.1.12",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.2.1.16",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.2.1.2",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.2.1.3",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.2.1.31",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.2.1.38",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.2.1.41",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.2.1.5",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.2.4.1",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.2.4.2",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.3.1.13",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.3.1.70",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.3.1.76",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.3.1.93",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.3.3.3",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.3.3.4",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.3.3.6",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.3.5.1",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.3.98.1",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.4.1.13",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.4.1.14",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.4.1.2",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.4.1.4",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.4.3.5",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.4.4.2",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.5.1.10",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.5.1.12",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.5.1.15",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.5.1.2",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.5.1.20",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.5.1.3",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.5.1.5",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.5.1.7",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
"ec:1.5.3.17",2.01438539957271,-0.840424198035377,-0.436099230212472,-0.342620870478599,-0.208285654345792,-0.296836380639932
