"","sig_1","sig_2","sig_3","sig_4","sig_5","sig_6","sig_7","sig_8","sig_9","sig_10","sig_11","sig_12","sig_13","sig_14","sig_15","sig_16","sig_17","sig_18","sig_19","sig_20","sig_21","sig_22","sig_23","sig_24","sig_25","sig_26","sig_27","sig_28","sig_29"
"AFG",-0.380308155193122,-0.563779551258899,-0.290182373727292,-0.29609251941713,-0.360593545308271,-0.337424821399086,-0.396899651054492,-0.530701553021479,-0.260286841935097,-0.238288282133284,-0.253374656951544,-0.245202956893691,-0.270620072257416,-0.275612480934596,-0.297279021180032,-0.287893717887455,-0.290745129768485,-0.309627675532828,-0.271591444909375,-0.318855776240251,-0.306546455458463,-0.32066001173273,-0.312320316065337,-0.322097209464966,-0.331595537283677,-0.353575701084988,-0.366736790544138,-0.404873671073031,-0.509230519287928
"AGO",-0.378470717129271,-0.555000884994268,-0.290182373727292,-0.29609251941713,-0.360593545308271,-0.337424821399086,-0.396395161077783,-0.529956819461122,-0.260286841935097,-0.238288282133284,-0.253374656951544,-0.245202956893691,-0.270620072257416,-0.275612480934596,-0.297279021180032,-0.287893717887455,-0.290745129768485,-0.309627675532828,-0.271591444909375,-0.318855776240251,-0.306546455458463,-0.32066001173273,-0.312320316065337,-0.322097209464966,-0.331595537283677,-0.353575701084988,-0.366736790544138,-0.404808995468193,-0.509230519287928
"ANT",-0.380308155193122,-0.563779551258899,-0.290182373727292,-0.29609251941713,-0.360593545308271,-0.337424821399086,-0.396899651054492,-0.530701553021479,-0.260286841935097,-0.238288282133284,-0.253374656951544,-0.245202956893691,-0.270620072257416,-0.275612480934596,-0.297279021180032,-0.287893717887455,-0.290745129768485,-0.309627675532828,-0.271591444909375,-0.318855776240251,-0.306546455458463,-0.32066001173273,-0.312320316065337,-0.322097209464966,-0.331595537283677,-0.353575701084988,-0.366736790544138,-0.404873671073031,-0.509230519287928
"ARE",-0.215551208801146,-0.0132317669485047,-0.26083486903031,-0.278098209992146,-0.328738753358897,-0.261927651402704,-0.266068583761359,-0.137482233152887,-0.255680867842431,-0.23575428917859,-0.251986525511953,-0.234059450835536,-0.26481830902888,-0.27083691396318,-0.297279021180032,-0.284664901003278,-0.275330641590443,-0.303253054607002,-0.252602133812656,-0.318855776240251,-0.294211996883024,-0.30638184365861,-0.25769935715331,-0.297047030855775,-0.317930249716923,-0.296331813825603,-0.343255022720918,-0.303721025106304,-0.225409023666671
"ARG",-0.363771212618462,-0.366886607895045,-0.290182373727292,-0.295891465680538,-0.360593545308271,-0.331133390566054,-0.389332301403861,-0.421225719648973,-0.260286841935097,-0.238288282133284,-0.253374656951544,-0.245202956893691,-0.270620072257416,-0.275612480934596,-0.297279021180032,-0.287893717887455,-0.290517008378958,-0.309627675532828,-0.271591444909375,-0.318855776240251,-0.306546455458463,-0.32061094586306,-0.306320581634202,-0.322097209464966,-0.331595537283677,-0.352452012888645,-0.366736790544138,-0.399440920266634,-0.449227988334441
"ATG",-0.380308155193122,-0.563779551258899,-0.290182373727292,-0.29609251941713,-0.360593545308271,-0.337424821399086,-0.396899651054492,-0.530701553021479,-0.260286841935097,-0.238288282133284,-0.253374656951544,-0.245202956893691,-0.270620072257416,-0.275612480934596,-0.297279021180032,-0.287893717887455,-0.290745129768485,-0.309627675532828,-0.271591444909375,-0.318855776240251,-0.306546455458463,-0.32066001173273,-0.312320316065337,-0.322097209464966,-0.331595537283677,-0.353575701084988,-0.366736790544138,-0.404873671073031,-0.509230519287928
"AUS",-0.0612064114376592,0.552365159529827,-0.234677310496043,-0.249850160000969,-0.161501095624685,-0.184183541823095,-0.00524726580294229,0.477667687702145,-0.241378106186258,-0.234289324501657,-0.248476536014701,-0.238056066932342,-0.245567003770554,-0.261961839200037,-0.271178630927619,-0.257758093635138,-0.250058050507839,-0.248253418246966,-0.241541349514052,-0.252880107108375,-0.274028337395942,-0.249808895928507,-0.213246779322624,-0.223082715185182,-0.245048716027565,-0.170446630458219,-0.117243007422431,0.0362139539225456,0.395569550645608
"AUT",-0.211876332673444,0.393095071585818,-0.272956664448628,-0.282822972802058,-0.304847659396867,-0.24655858465344,-0.218478362625168,0.380852324855711,-0.259802002556921,-0.236942098376103,-0.252898726172255,-0.245108918867884,-0.245039570749778,-0.271455436191406,-0.297279021180032,-0.284664901003278,-0.276243127148551,-0.277161582910597,-0.268850719596446,-0.318855776240251,-0.282998852723534,-0.306430909528281,-0.210441708679496,-0.301303467889649,-0.311097605933545,-0.277967538159665,-0.306075557000821,-0.197006277123503,0.389855023888133
"AZE",-0.380308155193122,-0.558763170536253,-0.290182373727292,-0.29609251941713,-0.360593545308271,-0.337424821399086,-0.396899651054492,-0.5303291862413,-0.260286841935097,-0.238288282133284,-0.253374656951544,-0.245202956893691,-0.270620072257416,-0.275612480934596,-0.297279021180032,-0.287893717887455,-0.290745129768485,-0.309627675532828,-0.271591444909375,-0.318855776240251,-0.306546455458463,-0.32066001173273,-0.312320316065337,-0.322097209464966,-0.331595537283677,-0.353575701084988,-0.366736790544138,-0.404873671073031,-0.509230519287928
"BEL",1.27583601969127,2.06354985222692,0.323244273362894,0.627447819618226,0.881743340717304,0.930118736290178,1.70766436844879,2.17528783853634,0.196674271995174,-0.0232552237435124,0.150750066011654,-0.0175368964144133,0.180862593526876,0.40568256133688,0.564033857149615,0.353564569769019,0.469257573825843,0.916671494198201,0.099385302804862,0.378601297439576,0.462675233882547,1.22251065527461,0.507539498017894,0.810673262795795,0.460991141588088,1.41530215222014,1.1272906872082,1.95649733716942,2.25104464142685
