ID,Integration
USA,1
CAN,1
CHN,1
MEX,1
JPN,1
KOR,1
DEU,6
FRA,6
NLD,6
ITA,6
BEL,6
AUT,6
GBR,5
CHE,3
POL,5
AUS,1
ESP,6
SGP,1
MYS,1
CZE,5
RUS,3
IND,1
BRA,2
THA,1
IRL,6
SAU,1
VEN,0
IDN,1
SWE,5
HUN,5
ARE,1
PRT,6
UKR,1
NGA,0
TUR,2
NOR,3
ISR,2
ARG,2
DNK,5
VNM,1
IRN,0
PHL,1
BLR,3
CHL,1
COL,2
ZAF,2
AGO,0
SVK,6
QAT,1
KAZ,3
LBY,1
ROM,5
FIN,6
DZA,1
PAN,1
IRQ,1
CRI,1
ECU,2
NZL,1
KWT,1
PER,2
LUX,6
LTU,5
OMN,1
GRC,6
DOM,1
SVN,6
EGY,1
TUN,1
MAR,1
TTO,5
SDN,1
HND,1
GTM,1
AZE,0
BGD,1
PAK,1
LVA,1
BGR,5
MMR,1
SLV,1
HRV,3
LBR,0
BWA,2
KGZ,1
BRN,1
BHS,0
YEM,0
MNG,0
JOR,1
COG,4
PRK,0
NPL,1
EST,6
ATG,6
UZB,0
PRY,2
URY,2
SYR,1
LKA,1
NIC,1
COD,4
SRB,1
LAO,1
ZMB,1
LCA,6
GNQ,4
KHM,1
GAB,4
PNG,0
MOZ,1
MLT,6
BEN,4
ZWE,1
CYP,6
AFG,1
TCD,4
GHA,0
