"","V1"
"SAU_1962",-1.20389663142331
"SAU_1963",-1.46144899047182
"SAU_1964",-1.12621796001471
"SAU_1965",-1.35392834900156
"SAU_1966",-1.12621796001471
"SAU_1967",-1.20389663142331
"SAU_1968",-1.05771988739169
"SAU_1969",-1.01066484735236
"SAU_1970",-1.23094061472737
"SAU_1971",-0.478776134021335
"SAU_1972",-1.33312887993442
"SAU_1973",-1.23235408135067
"SAU_1974",-1.28469934362803
"SAU_1975",0.372212179719701
"SAU_1976",-0.110989603174914
"SAU_1977",-0.0780371803132502
"SAU_1978",0.0185999773427139
"SAU_1979",0.240450602841047
"SAU_1980",0.56095256372243
"SAU_1981",1.0309548613395
"SAU_1982",0.89758756100097
"SAU_1983",0.25548003255861
"SAU_1984",0.222196198407898
"SAU_1985",-0.93040175695924
"SAU_1986",-0.651921302699756
"SAU_1987",-0.734316546284294
"SAU_1988",0.584689078410385
"SAU_1989",-0.692594867620449
"SAU_1990",-0.0883231903626513
"SAU_1991",-0.811213837857881
"SAU_1992",-0.278631352572381
"SAU_1993",0.816454148388748
"SAU_1994",0.0513857846542419
"SAU_1995",0.523321289389834
"SAU_1996",0.870915390074472
"SAU_1997",0.579647080478692
"SAU_1998",0.101193972564023
"SAU_1999",-0.226208215262316
"SAU_2000",-0.340901540908536
"SAU_2001",0.853266934024469
"SAU_2002",0.0513395776817124
"SAU_2003",0.753312072732891
"SAU_2004",0.690365403368415
"SAU_2005",1.81730889486605
"SAU_2006",1.69715753020652
"SAU_2007",1.73695622784047
"SAU_2008",2.09347022884224
"SAU_2009",2.02551207203851
"SAU_2010",1.20270004227646
